id,user,likes,dislikes,followers
3,vhowgego2,2479,1152,14811
6,bhutchence5,2375,1782,15835
7,epetr6,2418,1800,16998
11,bdurstona,2868,3240,19607
13,hfenlonc,2318,1626,16824
20,dgannanj,2841,2265,12364
33,scroalw,2341,513,17921
34,nlearnedx,2325,1143,18081
35,cmarshamy,2789,1878,14521
36,flagez,2297,1442,17063
37,loates10,2410,2864,16931
41,hdominetti14,2622,619,14247
42,kitzakovitz15,2455,2232,10871
43,tpfeffer16,2521,303,11224
45,jdressell18,2032,2175,10805
48,ahodgins1b,2264,532,12223
49,mboycott1c,2423,815,18094
53,jsaing1g,2782,3330,18371
56,mtithecott1j,2231,1113,12033
57,mchastaing1k,2745,2059,13692
59,nkubicek1m,2664,708,13958
62,akemson1p,2177,1613,14460
66,eantusch1t,2532,1960,19875
67,chintzer1u,2835,3460,11746
69,gletts1w,2320,2593,11801
73,cdmitrievski20,2899,1019,12057
77,mlovatt24,2852,3381,18964
84,skingston2b,2221,904,14925
85,fstollhofer2c,2173,402,13362
86,choggin2d,2594,1085,19692
90,malexis2h,2607,2907,11363
91,wcluff2i,2377,1251,16629
92,udubock2j,2006,313,19334
93,dgoracci2k,2972,3130,19624
96,lkabsch2n,2523,2123,17263
97,gmacsharry2o,2305,362,16614
99,apetrecz2q,2589,1680,18934
